epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,7675.74,1.06829,1.84627,0.875,1.35021,0,0.77022,0.66203,0.72637,0.48318,0.78367,0.66253,0.72753,0.45662,1.27396,2.26116,1.08167,1.41023,0,0.001076,0.001076,0.001076
58,7808.96,1.07011,1.85943,0.87775,1.36114,0,0.77004,0.69119,0.73435,0.48846,0.7818,0.68977,0.73833,0.46176,1.26303,2.2693,1.05966,1.38575,0,0.0010595,0.0010595,0.0010595
59,7945.31,1.04909,1.84908,0.86588,1.34121,0,0.76967,0.67273,0.72471,0.48081,0.77601,0.68235,0.7331,0.45429,1.29385,2.28611,1.04082,1.40037,0,0.001043,0.001043,0.001043
60,8081.43,1.03864,1.81523,0.83394,1.33407,0,0.79246,0.68556,0.73484,0.47884,0.78876,0.68235,0.72666,0.45562,1.26352,2.2414,1.04539,1.37882,0,0.0010265,0.0010265,0.0010265
61,8215.63,1.04896,1.83907,0.83989,1.33621,0,0.77896,0.69726,0.74417,0.49442,0.78374,0.70154,0.74513,0.46421,1.24369,2.21414,1.00942,1.36721,0,0.00101,0.00101,0.00101
62,8350.73,1.04598,1.81789,0.83932,1.3454,0,0.73816,0.69951,0.72711,0.48255,0.77179,0.68021,0.73018,0.45589,1.24875,2.23082,1.04272,1.37936,0,0.0009935,0.0009935,0.0009935
63,8485.29,1.04827,1.85058,0.85776,1.33239,0,0.7615,0.70053,0.72911,0.49401,0.76758,0.70374,0.73326,0.46041,1.22675,2.23674,1.0263,1.35883,0,0.000977,0.000977,0.000977
64,8620.08,1.03682,1.82024,0.83084,1.32825,0,0.78335,0.67594,0.7359,0.50064,0.79187,0.68663,0.73944,0.46748,1.22921,2.23977,1.02249,1.35312,0,0.0009605,0.0009605,0.0009605
65,8755.19,1.01783,1.8133,0.81663,1.30945,0,0.77457,0.71123,0.74559,0.50564,0.78273,0.71872,0.74826,0.47314,1.24802,2.23711,1.0223,1.37525,0,0.000944,0.000944,0.000944
66,8889.87,1.0385,1.78301,0.81724,1.32134,0,0.79085,0.69198,0.73908,0.50426,0.79447,0.69733,0.73941,0.46919,1.20881,2.26916,1.06358,1.34273,0,0.0009275,0.0009275,0.0009275
67,9024.14,1.02188,1.75473,0.79627,1.31212,0,0.78614,0.70909,0.74977,0.50351,0.79207,0.71444,0.75004,0.46999,1.2231,2.25517,1.01895,1.35518,0,0.000911,0.000911,0.000911
68,9158.47,1.00741,1.76641,0.78959,1.29884,0,0.77181,0.70695,0.74171,0.50456,0.77685,0.71444,0.74231,0.47667,1.21506,2.20715,1.01983,1.36067,0,0.0008945,0.0008945,0.0008945
69,9293.6,1.00137,1.78714,0.80715,1.29973,0,0.76621,0.70053,0.72821,0.49702,0.77687,0.69626,0.72881,0.46263,1.20922,2.24752,1.04664,1.35448,0,0.000878,0.000878,0.000878
70,9427.93,1.00077,1.74897,0.78182,1.30675,0,0.78849,0.71765,0.75078,0.50475,0.80709,0.72406,0.75357,0.47547,1.23055,2.24402,0.98244,1.3595,0,0.0008615,0.0008615,0.0008615
71,9564.03,1.01563,1.80083,0.79085,1.32249,0,0.76593,0.71393,0.7327,0.49416,0.77008,0.72002,0.7327,0.46264,1.23208,2.23265,1.00469,1.37029,0,0.000845,0.000845,0.000845
72,9698.48,0.99945,1.74856,0.80345,1.30562,0,0.7758,0.71796,0.74644,0.51467,0.77658,0.7262,0.75331,0.48203,1.19763,2.18792,1.00397,1.33378,0,0.0008285,0.0008285,0.0008285
73,9833.78,0.97749,1.71291,0.77009,1.28141,0,0.77301,0.71658,0.74907,0.50812,0.77995,0.7262,0.75335,0.47973,1.20363,2.20482,1.00389,1.34602,0,0.000812,0.000812,0.000812
74,9968.66,0.98832,1.72521,0.7665,1.30149,0,0.7856,0.70932,0.73748,0.50454,0.78411,0.71551,0.74008,0.47554,1.21509,2.21345,1.01085,1.34426,0,0.0007955,0.0007955,0.0007955
75,10103.1,0.97192,1.70338,0.76447,1.28796,0,0.77447,0.71617,0.74292,0.50902,0.78567,0.72193,0.74328,0.47885,1.21071,2.2424,0.98108,1.35469,0,0.000779,0.000779,0.000779
76,10239.7,0.98695,1.7233,0.75452,1.29077,0,0.73466,0.7344,0.73726,0.50818,0.73651,0.73544,0.74139,0.47782,1.21179,2.27661,1.01538,1.36553,0,0.0007625,0.0007625,0.0007625
77,10374.6,0.95303,1.65648,0.73191,1.26916,0,0.77823,0.71685,0.74905,0.50975,0.77874,0.72299,0.74905,0.4828,1.21298,2.24231,0.97999,1.34426,0,0.000746,0.000746,0.000746
78,10510.6,0.96268,1.68486,0.7433,1.26609,0,0.75985,0.71337,0.73872,0.50596,0.76782,0.72086,0.74293,0.47512,1.19609,2.21534,0.99246,1.34703,0,0.0007295,0.0007295,0.0007295
79,10647.8,0.97661,1.70103,0.75221,1.27087,0,0.75999,0.70443,0.73514,0.50444,0.76713,0.70909,0.7362,0.47178,1.20981,2.22671,1.01848,1.34037,0,0.000713,0.000713,0.000713
80,10783.5,0.92524,1.65473,0.70339,1.24264,0,0.81378,0.70481,0.74992,0.51359,0.81547,0.71551,0.75424,0.48194,1.20681,2.21474,0.97899,1.34885,0,0.0006965,0.0006965,0.0006965
81,10915.6,0.9348,1.67353,0.72405,1.24759,0,0.79369,0.72193,0.74146,0.51384,0.80074,0.72834,0.74588,0.4815,1.20713,2.2469,0.99306,1.35427,0,0.00068,0.00068,0.00068
82,11048.6,0.9285,1.65164,0.70522,1.24712,0,0.76964,0.71765,0.7439,0.51408,0.77045,0.74308,0.74924,0.48542,1.18412,2.23457,0.96801,1.34144,0,0.0006635,0.0006635,0.0006635
